Country,Issuer,Denomination,Subject,Krause Number,Year,Mintmark,Grade,"Value, USD (CoinSnap) ",Composition,Obverse photo,Reverse photo,Value (MY),Note,Custom set
Latvia,Latvia,50 santimu,Common series,KM# 13,2007,No mintmark,AU,$ 0.96,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a7ca2967-d708-45f9-8a79-25fea66c9888.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/a726d3f7-6b3f-46e2-b84b-6bcb3ad391ff.png,,,
Latvia,Latvia,20 santimu,Common series,KM# 22.1,1992,No mintmark,AU,$ 0.46,Nickel-Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/530e7935-ea1b-4631-8a61-5e66e24bb02f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/c5dfa93c-5130-47f0-b708-d1a72da61f09.png,,,
Latvia,Latvia,50 santimu,Common series,KM# 13,1992,No mintmark,XF,$ 0.68,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/7b3965eb-6195-42b1-a801-9bda43538001.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/c67c0df4-4a31-47fb-aebd-d1315a34f974.png,,,
Latvia,Latvia,50 santimu,Common series,KM# 13,2009,No mintmark,AU,$ 1.17,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/3269601f-5bdf-4151-a990-c0e7d80c492f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/29f66fc4-7915-4813-af6d-2a3e432da4b3.png,,,
Latvia,Latvia,20 santimu,Common series,KM# 22.1,2009,No mintmark,AU,$ 0.33,Nickel-Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/dd7f9873-3f09-4b98-8664-40613fd6d2d3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/4cfe643e-20f4-4595-bb98-a9a4bdb99de1.png,,,
Latvia,Latvia,1 lats,Common series,KM# 12,2008,No mintmark,XF,$ 1.51,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a81ae63e-3a68-4a4e-9efe-6c5fe91b0afa.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/74666796-f5e2-442c-aae4-f66aae56e815.png,,,
Latvia,Latvia,1 lats,Common series,KM# 12,2007,No mintmark,XF,$ 1.42,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/7e1b11c7-dd6b-4711-8295-b1ca4fa9d371.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/da8756d1-808c-44d2-92cb-675adab3bc3a.png,,,
Latvia,Latvia,20 santimu,Common series,KM# 22.1,2009,No mintmark,AU,$ 0.33,Nickel-Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/2f304921-691e-4b14-a17c-5a1c9af2fd9e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/dbe9b5a4-ebac-4c88-b71e-39621d97aea6.png,,,
Latvia,Latvia,1 lats,Owl Fibula,KM# 86,2007,No mintmark,AU,$ 3.46,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/500506d0-1171-4750-bcdc-2953da5f99ed.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/12fcb835-d8ed-4911-8dde-04b028e3ac0d.png,,,
Latvia,Latvia,1 lats,Common series,KM# 12,2008,No mintmark,AU,$ 1.51,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/3cd80905-a7d4-4d15-bec3-c2f72835a481.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/763593cc-3787-4ad4-a1e0-8ef6144f327c.png,,,
Latvia,Latvia,1 lats,Common series,KM# 12,2007,No mintmark,XF,$ 1.42,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/aeb2de6c-20c0-42a5-b054-ee41a1728223.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/7dced2b2-7e2f-4c9f-a7a8-1e7c8b11dc3a.png,,,
Latvia,Latvia,1 lats,Common series,KM# 12,2008,No mintmark,AU,$ 1.51,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/e60ce13a-40d5-4bf3-92f4-c5575552c650.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/1ddf4839-0980-4438-96b8-24f9b098f8b9.png,,,
Latvia,Latvia,2 lati,Common series,KM# 38,1999,No mintmark,XF,$ 4.55,"Bi-Metallic: Brass center, Copper-Nickel ring",https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/7a2c297e-4145-4e72-9574-bb6faeffe8a9.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/7f4b044f-5144-4634-8bc9-47e9de9fd289.png,,,
France,France,50 centimes,Common series,,1939,No mintmark,VG,$ 0.32,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/ca18310f-840a-43d9-b65e-8df595120db7.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/9164d11e-bd06-49d0-b9d5-5582478f326c.png,,,
France,France,5 centimes,Common series,KM# 933,1992,Alignment ↑↓,AU,$ 0.62,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/4867ad94-9db7-4b8b-a8f7-fc74f22c83fb.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/1ee17dc1-3a45-4821-adf3-7d40564df3eb.png,,,
France,France,50 centimes,Common series,,1939,No mintmark,G,$ 0.32,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/5d825fb2-16d5-41e6-a0e8-48452c2df062.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/f1d80739-65da-4bea-a4e4-733ba20fdd01.png,,,
